session_id,user_id,pricing_model,energy_kwh,import_kwh,export_kwh,net_kwh,schema_version,start_ts,end_ts,batch_day,receipt_hash,merkle_root,batch_root
db_report_20260605_v2-0010,user-010,TOU,10.482,10.482,0.0,10.482,v2g-v1,2026-06-05T13:49:40.881967+00:00,2026-06-05T14:19:40.881967+00:00,2026-06-05,0x84f41b01900d5ff51f75946bafd52f8606b50ca5bf3b519cef3dbfa66d9a5dc8,0x328375be168391b7e14b814f07c4161224752262f0c895fcd9c07545e60e7f5c,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0011,user-006,TOU,8.959,8.959,0.0,8.959,v2g-v1,2026-06-05T23:28:42.639935+00:00,2026-06-06T00:43:42.639935+00:00,2026-06-05,0x643d5aa7067bcf11e5d04dc95d8f976033ab8e42786422aed91d0dee998fdbbc,0xed7606cdeac2a28e8cd01cdebd063eb22cb8de520b4b6e4ab4f56fbccd54aba6,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0012,user-002,TOU,-7.311,0.0,7.311,-7.311,v2g-v1,2026-06-05T08:10:03.890442+00:00,2026-06-05T08:50:03.890442+00:00,2026-06-05,0x841c1b2730bb5baf1be602935fe045a46d34f367673d280692badd5aaca1ccbe,0x8a8580a5f3047202122c6e0c6d9827d0b28ca6fff0551ba4ad8a3a2e2dfbebba,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0013,user-007,TOU,7.205,7.205,0.0,7.205,v2g-v1,2026-06-05T19:34:46.633708+00:00,2026-06-05T20:34:46.633708+00:00,2026-06-05,0x77150719eb83611c710b52e3f4b73ae031918dfc0162b266f9741ebed2c40437,0xe02404dd274e75d4f7a62f06c07df8ac851ec45b288d06d75d0e956966e5e1e6,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0014,user-001,TOU,-0.141,3.852,3.993,-0.141,v2g-v1,2026-06-05T00:20:09.315897+00:00,2026-06-05T01:00:09.315897+00:00,2026-06-05,0xd4a4a4633fc47d0c98e8ea6d67cb2c15dc4d1a001e0fe22bd6400974474f85ff,0x562cb3feae5b52d20a9affe129af042f97b99b69ae0d9b75646a310d3d1030c4,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0015,user-002,TOU,3.936,6.033,2.097,3.936,v2g-v1,2026-06-05T03:33:04.004082+00:00,2026-06-05T03:53:04.004082+00:00,2026-06-05,0x5431cf6ee4a814b2a402108e469864f280f68a945022897f51b6881742f2a021,0x73de0ad3b71b7fc752fe50f131a24863b35ba5d95f38ef8a38dcd0e018a4b4db,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0016,user-010,TOU,4.855,4.855,0.0,4.855,v2g-v1,2026-06-05T11:26:11.573378+00:00,2026-06-05T12:06:11.573378+00:00,2026-06-05,0xef4cf45d2e3da942709ab2e153a0ce8af008e3c38ff8886175a6b8a1af3fbffe,0x9142f3684a7319a4066c3fa2a715bdd2965ca8ebc414e65d3b00ffdcfa9af841,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0017,user-002,TOU,2.972,8.628,5.656,2.972,v2g-v1,2026-06-05T11:04:48.387486+00:00,2026-06-05T12:19:48.387486+00:00,2026-06-05,0xe69af942922835b9549bae5292698484ad64b4bd9ae940ceafe58b754cc329a9,0x3333bee322e578def570c8dbe974331b434c9a26f4998928448caeb242871422,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0018,user-004,TOU,11.507,11.507,0.0,11.507,v2g-v1,2026-06-05T06:45:38.307031+00:00,2026-06-05T07:15:38.307031+00:00,2026-06-05,0xe35cb57ca38c2a5071b41b49145d10d3ca605b8cc7d0af4710324005e3ba0a00,0xfb6a15633f3fa7a89cae0d151342ff14690174ae56279db1b3f42f80d6d6af0a,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0019,user-003,TOU,4.68,4.68,0.0,4.68,v2g-v1,2026-06-05T08:41:33.404201+00:00,2026-06-05T09:21:33.404201+00:00,2026-06-05,0x1747ad934001bb8bb476c2a7b8479299545a03588c45ce0a74bfc7eed9876fb2,0x6907e1021650368d6e61b35f66b75739455c5cef003c7f42a9ec215b76225609,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0020,user-001,TOU,1.885,2.898,1.013,1.885,v2g-v1,2026-06-05T16:35:06.478566+00:00,2026-06-05T16:55:06.478566+00:00,2026-06-05,0x791f7c0cc30f48d66b9f4025865b3f721f51597f232a779bc192a6ed024c4638,0x6f7d7cc0608da0e0d3c40eb7f7411bddf7312f4a3ae9ae8212cd893878159a7b,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0021,user-004,TOU,-0.048,2.557,2.605,-0.048,v2g-v1,2026-06-05T03:13:58.067847+00:00,2026-06-05T03:43:58.067847+00:00,2026-06-05,0x301d9c4af5ac8abbbd994226fa965548bd3bf4408ff7604e0286b8da9a35e79c,0xf724e8f0c47009e242488254b7f94170af20af581d65be176715f97eb229b1e1,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0022,user-008,TOU,-11.192,0.0,11.192,-11.192,v2g-v1,2026-06-05T18:38:41.726804+00:00,2026-06-05T19:38:41.726804+00:00,2026-06-05,0x580a1db69e525f064b0ef75f36102072009cbaf4d8539e19aa039e7698ccfe3b,0xef23d5a53dde5c153d9330fd5c8e9ce92646ac091b2350cbe0409f2979746491,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0023,user-003,TOU,0.245,2.433,2.188,0.245,v2g-v1,2026-06-05T10:02:57.047005+00:00,2026-06-05T10:42:57.047005+00:00,2026-06-05,0x37e06cedfca284efdac9d99ca43273b3dbd12a7ffe2f6d624cf5ce5a45852565,0x2fbfddeecf8b1bb059b9eaf30f439a6a5d2c1fa8aa0b1e55abf28735b103dec3,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0024,user-004,TOU,7.517,7.517,0.0,7.517,v2g-v1,2026-06-05T15:14:31.264838+00:00,2026-06-05T15:34:31.264838+00:00,2026-06-05,0x066b40ff39a0372f9c3c26a51d41ea727dfef5f5879e06c0ae643ec3658d1f0e,0xb91f1284d7e0ee5430ad41703359242bb724003e7293c122939d6282e17f0a74,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0025,user-007,TOU,0.817,4.91,4.093,0.817,v2g-v1,2026-06-05T07:15:01.193014+00:00,2026-06-05T08:30:01.193014+00:00,2026-06-05,0x05cce145d1926a245e036f1ec4a4823d1a0a22a6fb03fc39ffe54532dd7ed36e,0x5c38738623f9bcaa14e789cf9c0eae80ba4462a918dd9c1450aa9b3d0aef182c,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0026,user-010,TOU,-11.153,0.0,11.153,-11.153,v2g-v1,2026-06-05T15:56:19.734733+00:00,2026-06-05T16:26:19.734733+00:00,2026-06-05,0xdecc75cf9c0641f16c754a7d42471af82da5383bc24c21fe29d015b223617ffa,0x8f2d8e8e9de8bd89e3b312443a83e368ad4635f6c7f56d79ed19519b8cfca45e,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0027,user-004,TOU,-11.039,0.0,11.039,-11.039,v2g-v1,2026-06-05T06:44:34.912901+00:00,2026-06-05T07:44:34.912901+00:00,2026-06-05,0x392a459720efa2e1453c809b3153cb647618bf14e3b1f470e0ae8d458a15ba04,0x88df20808bf391219fa30faf0103b400f48e8c15adaeec9a318a0de258b4911c,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0028,user-009,TOU,13.549,13.549,0.0,13.549,v2g-v1,2026-06-05T00:16:26.092055+00:00,2026-06-05T01:31:26.092055+00:00,2026-06-05,0xaa1fec913979d82d5157b70027188cd4d73627a9a58771af6bdcfcd566fb110b,0xa09219f867d3059957629cc72a985e5b553c2ab972c6f359b0281b281da3b448,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0029,user-006,TOU,3.691,6.217,2.526,3.691,v2g-v1,2026-06-05T16:18:37.093289+00:00,2026-06-05T17:33:37.093289+00:00,2026-06-05,0xf43b9d82ccd3f7149642cb42f3fc6d8eb26b42a0451b6cf70893f1f00ab6ef4d,0x22c10187df294d4dc283e47091dd43504aace4e7ef9ec56f4d5f795c7438a4c5,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0030,user-007,TOU,21.809,21.809,0.0,21.809,v2g-v1,2026-06-05T03:30:02.097071+00:00,2026-06-05T04:30:02.097071+00:00,2026-06-05,0xd8764b554acf46c185b65936456e14c00c868e8623cd4ba8c041e0c58701fa49,0xf1b543b4782f9c39b048e0c20a23ee3ec9dbcf3ca6f83a7332264b932721967c,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0031,user-010,TOU,2.568,2.568,0.0,2.568,v2g-v1,2026-06-05T10:26:16.532667+00:00,2026-06-05T10:46:16.532667+00:00,2026-06-05,0x2bb23000cd3b9c4920ebea2e46ec636bf7bebd670d7742c99a2c1f5a980a0560,0xa612a98a0dcaa6a585ba415d4d1c40e16d78699b71065d7e56a6533951cabdec,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0032,user-007,TOU,11.264,11.264,0.0,11.264,v2g-v1,2026-06-05T17:18:18.628409+00:00,2026-06-05T18:18:18.628409+00:00,2026-06-05,0x45598eed9beacc5876a0d2b8cccc395a47c9a44e364f6e44c520e8ea2481c4d5,0xf1f91a563a0d179d6f90536625c31918399e3ef495669eaeeb4d4dc0f3e2cf5c,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0033,user-010,TOU,9.654,14.861,5.207,9.654,v2g-v1,2026-06-05T01:14:13.793280+00:00,2026-06-05T02:14:13.793280+00:00,2026-06-05,0x06c5b6529faf4a893d57fb13ac22ed799d01298602835e6de9ebb71b1dad8878,0x8c548ac4f19d34256ba278eb6df2ab98cb9e4648e20f50a519c55afe842cab2f,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0034,user-004,TOU,15.024,15.024,0.0,15.024,v2g-v1,2026-06-05T21:32:15.727209+00:00,2026-06-05T22:12:15.727209+00:00,2026-06-05,0xb8cd866707d00d26fd000591ce7c3ad5ef7b3218a1edb57b49157beced0d44bb,0xad33c3837a0312ac7845f688282c95356180f161dde386c626473fd5fbde5cca,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0035,user-006,TOU,14.902,18.497,3.595,14.902,v2g-v1,2026-06-05T08:43:45.446833+00:00,2026-06-05T09:43:45.446833+00:00,2026-06-05,0xae7de4b47522764565be317e1d75bb2cca70c2d3829af573176d4d226d904b2f,0x5ca43f044bd6b527545a269000355c0dca4fb88af3291e34f137f45c154280f3,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0036,user-007,TOU,6.964,8.847,1.883,6.964,v2g-v1,2026-06-05T15:54:35.332041+00:00,2026-06-05T16:54:35.332041+00:00,2026-06-05,0xa7543d44e8a8d0a484c0cf8711b9ec18ce857ebc0626c59232f761b6544c5c09,0xacf2e2ee1e7658411c87d401dfaf30505afdf3502082283bfb5a0c099d8ef40d,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0037,user-001,TOU,5.412,5.412,0.0,5.412,v2g-v1,2026-06-05T21:45:00.190512+00:00,2026-06-05T22:15:00.190512+00:00,2026-06-05,0xffad267b0ed16d9774c69e228a72c7f5468f8e5987a772b5c053d64e7054348b,0x6e92ccb29cd38e5c3fcb6bb5a335843d382964c3b9ee8ac254f3d36d314c070e,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0038,user-005,TOU,3.361,5.245,1.884,3.361,v2g-v1,2026-06-05T17:56:58.722376+00:00,2026-06-05T18:16:58.722376+00:00,2026-06-05,0x29a2cbee0095e828111b458dfb01cc65766065c0f14b03d3fadc718579a7d8ff,0xa410c2ae1d8fa88aa0aff52f74ab8e3e105c94fb79514523a5bb2f965e63138e,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0039,user-009,TOU,-0.033,1.226,1.259,-0.033,v2g-v1,2026-06-05T09:39:37.280020+00:00,2026-06-05T09:59:37.280020+00:00,2026-06-05,0x8aca5808aed6df8e6b7ec0164a951fe19dd81f3f205cb508888dd65a95369987,0xad9d2872451442ba34d634adb5ce3b275744da659a3d579a533776c6fa8134be,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0040,user-003,TOU,7.14,7.14,0.0,7.14,v2g-v1,2026-06-05T08:40:28.061799+00:00,2026-06-05T09:40:28.061799+00:00,2026-06-05,0x7b83a32a9c97182abdfa427baaf349fe127382f5be72f9e2a82e36fb96a431c5,0x02b2e87c3a9157a03af9886721278d2f8ef55a49179618d71cda3f39e9181a9a,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0041,user-002,TOU,7.132,7.132,0.0,7.132,v2g-v1,2026-06-05T00:07:45.474198+00:00,2026-06-05T00:27:45.474198+00:00,2026-06-05,0x860234583712401846c049b68fcc4d3fe1a02aff4506e0b7578d651ce46cb734,0xc20356a13000ed465ff0eb6bdd24129e25612a1c0fc04648e53c54bb34daecd2,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0042,user-010,TOU,14.805,14.805,0.0,14.805,v2g-v1,2026-06-05T00:13:21.299096+00:00,2026-06-05T00:53:21.299096+00:00,2026-06-05,0x382063865fc1cc2f1077d0ad60268d0969a1cc559aa47bfa7f8841a05f4368ba,0x293b113b7e42824a72c9b0c5df3d8e601c33ce2587141120a782b446e335c4d4,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0043,user-010,TOU,0.136,1.345,1.209,0.136,v2g-v1,2026-06-05T12:42:19.561814+00:00,2026-06-05T13:02:19.561814+00:00,2026-06-05,0x7678a6160b39cb0450317be4f2fc129cb0a97463499a5f685053bc965658568a,0x74b27178da7b6dcda79855e6ffba8fcc3f3e87070627313565ab1a7601ebda8b,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0044,user-007,TOU,3.91,7.517,3.607,3.91,v2g-v1,2026-06-05T21:13:43.327467+00:00,2026-06-05T21:43:43.327467+00:00,2026-06-05,0x8574c267b62d57abfae62b5aa012ed30a3f5e1f4ed959cbfde852414f42eed32,0xa4d420f30febda8d14b2e0da6bd01aae19ca71fb86d53fc6690653725f030d86,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0045,user-007,TOU,27.548,27.548,0.0,27.548,v2g-v1,2026-06-05T01:21:32.772800+00:00,2026-06-05T02:36:32.772800+00:00,2026-06-05,0x17beeba5612bb27c9dfcdb5ce7404752ad2ebaea4f1542094c5c9110228ae847,0x8434861764b3b2bfc94cc979da7742091f012b93d12905279a80476bc1e9f5ec,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0046,user-010,TOU,7.084,7.084,0.0,7.084,v2g-v1,2026-06-05T13:31:19.537117+00:00,2026-06-05T14:31:19.537117+00:00,2026-06-05,0xa5be3c44fe438f199b4ef0ca42907dc59858ea18412ebb3ee32be13dd5f7eeb0,0xeb8e7b3a9d9dfe435b2ff7d82a1ce2ad226f36cf5a21801568d23acff853caa5,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0047,user-009,TOU,7.108,7.108,0.0,7.108,v2g-v1,2026-06-05T04:11:06.289638+00:00,2026-06-05T04:31:06.289638+00:00,2026-06-05,0xcb15daf8dd26601c89fbfef10b89f8ab89f5bb5911d8c69395b41db981c3c4a5,0xa9eb5129aefdc90ba3090d58c4de3438084c9435813f590dbc17bd6b3b841669,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0048,user-004,TOU,-5.532,0.0,5.532,-5.532,v2g-v1,2026-06-05T17:34:26.341013+00:00,2026-06-05T18:04:26.341013+00:00,2026-06-05,0xdab4a75e95e04d1265a99becbf082ca792314134765acf4c922de8e109c88ea1,0x2a96c49d0fb2412c869edf697c224625171fdbac1e5a65ca0a7e059d21249894,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0049,user-004,TOU,3.716,3.716,0.0,3.716,v2g-v1,2026-06-05T00:10:08.983156+00:00,2026-06-05T00:30:08.983156+00:00,2026-06-05,0xc96f3cf865e96350c51e7d169dbd6f1562d808fc901e7b77990a428a4b04f8f4,0xf89cd55b2caab59101111896e9e44a4e006ac355c0f5f4ba3e929e445f460aea,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0050,user-008,TOU,-8.67,0.0,8.67,-8.67,v2g-v1,2026-06-05T18:08:01.649715+00:00,2026-06-05T19:23:01.649715+00:00,2026-06-05,0x3e2f51187b7760ee2443a1f3071a93e8911bd8a730f9909033d158f4b6df17c8,0xe1da565615393d9e82a50efebaa3d1bd0813e9d97df050dfb3b75251fccea00a,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0051,user-008,TOU,-27.453,0.0,27.453,-27.453,v2g-v1,2026-06-05T15:42:01.291438+00:00,2026-06-05T16:57:01.291438+00:00,2026-06-05,0xa9178f199d86c3e11ce16735e61a1c1debf8e18b28eee030a174169090155ddc,0x61e89f25111a0d4212e9d2b3f085579defcba51bd3c283c86f0c427978ca894f,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0052,user-002,TOU,7.328,7.328,0.0,7.328,v2g-v1,2026-06-05T03:00:09.951682+00:00,2026-06-05T04:00:09.951682+00:00,2026-06-05,0xfd796104d581c0ded1bc279a768dfb5bd2308403eed14b5eb75423eeff0b505c,0x4f60acbaa9f7e0a62aa1dc4e9c5f7789d8693c927f74f153473b0e7c374f376a,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0053,user-008,TOU,0.308,3.683,3.375,0.308,v2g-v1,2026-06-05T03:02:46.107297+00:00,2026-06-05T03:22:46.107297+00:00,2026-06-05,0x429a3e5da8bf23d144f88e8b4b7937857775f824a3091bca9c406e436f04f5df,0x3626ddb21f166ec2829e98318376c6857978d2141b86728822f405c43fda3e60,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0054,user-001,TOU,-3.591,0.0,3.591,-3.591,v2g-v1,2026-06-05T22:52:46.380306+00:00,2026-06-05T23:12:46.380306+00:00,2026-06-05,0xe48f39230a51b0d32f32d213729e1c0c83c30340a593eada88338f5dafa6439b,0x13ad85096bceaefec4fa97444f5fb7c36a019feb03c716599d1b6ab0855948eb,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0055,user-007,TOU,5.95,5.95,0.0,5.95,v2g-v1,2026-06-05T09:06:37.024158+00:00,2026-06-05T09:36:37.024158+00:00,2026-06-05,0x933959d64d7010f0d6f3258b30c8d1adc04f82b8878d091f2844e3baceedec84,0xeb3d9da87708293be929092f0618dbab75f5d66b8f535e2ec9114e81a3db80b2,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0056,user-008,TOU,13.517,13.517,0.0,13.517,v2g-v1,2026-06-05T01:17:51.641142+00:00,2026-06-05T02:32:51.641142+00:00,2026-06-05,0x7ea6e6c3a764eb23e7a8ef732db3bb66ec96ed00e7356a2c3f7b9dba0d255c6c,0xb36853a6e4e11530da8c2b9be95971beea5f231331b261815835ff489aa96943,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0057,user-001,TOU,11.307,11.307,0.0,11.307,v2g-v1,2026-06-05T02:07:42.695199+00:00,2026-06-05T03:07:42.695199+00:00,2026-06-05,0xf72fd8b0c098230d7b6760e70b8d99165028937bcaaad50fa30813768b2c1555,0x1bd810fbebef1759947494b80b128f59fc2516aea10c2431a0d87a1f1521d551,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0058,user-003,TOU,6.836,6.836,0.0,6.836,v2g-v1,2026-06-05T21:49:12.476336+00:00,2026-06-05T22:29:12.476336+00:00,2026-06-05,0xa3ae80338627fb58f6b293bfdd7553a6007a7379da35026a0073bc5ec44ffcd6,0x7e88a0a7c31a71cd7138a5969e06b5c8eb0f87bb828d5e5ea31ade1b4eb10efd,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
db_report_20260605_v2-0059,user-006,TOU,4.861,6.0,1.139,4.861,v2g-v1,2026-06-05T04:40:54.308665+00:00,2026-06-05T05:40:54.308665+00:00,2026-06-05,0xde002e65615572754d253efc603776227246efd151597483050bcbcb669905f4,0xeeecc3b6b5351512ddb6036d1e116abf54143dccde26dce8c14eb2797a04253a,0xcaa3a2c94cf788fb0e40292f9224dc1474203488f5caf6203ce0a65c1e7e34cb
