session_id,user_id,evse_id,start_ts,end_ts,session_type,energy_kwh,import_kwh,export_kwh,net_kwh,tariff_model
research_20260521_100-0011,user-006,EVSE-031,2026-05-21T23:28:42.639935Z,2026-05-22T00:43:42.639935Z,charge_only,8.959,8.959,0.0,8.959,TOU
research_20260521_100-0012,user-002,EVSE-013,2026-05-21T08:10:03.890442Z,2026-05-21T08:50:03.890442Z,discharge_only,-7.311,0.0,7.311,-7.311,TOU
research_20260521_100-0013,user-007,EVSE-026,2026-05-21T19:34:46.633708Z,2026-05-21T20:34:46.633708Z,charge_only,7.205,7.205,0.0,7.205,TOU
research_20260521_100-0014,user-001,EVSE-034,2026-05-21T00:20:09.315897Z,2026-05-21T01:00:09.315897Z,bidirectional,-0.141,3.852,3.993,-0.141,TOU
research_20260521_100-0015,user-002,EVSE-040,2026-05-21T03:33:04.004082Z,2026-05-21T03:53:04.004082Z,bidirectional,3.936,6.033,2.097,3.936,TOU
research_20260521_100-0016,user-010,EVSE-040,2026-05-21T11:26:11.573378Z,2026-05-21T12:06:11.573378Z,charge_only,4.855,4.855,0.0,4.855,TOU
research_20260521_100-0017,user-002,EVSE-036,2026-05-21T11:04:48.387486Z,2026-05-21T12:19:48.387486Z,bidirectional,2.972,8.628,5.656,2.972,TOU
research_20260521_100-0018,user-004,EVSE-018,2026-05-21T06:45:38.307031Z,2026-05-21T07:15:38.307031Z,charge_only,11.507,11.507,0.0,11.507,TOU
research_20260521_100-0019,user-003,EVSE-038,2026-05-21T08:41:33.404201Z,2026-05-21T09:21:33.404201Z,charge_only,4.68,4.68,0.0,4.68,TOU
research_20260521_100-0020,user-001,EVSE-040,2026-05-21T16:35:06.478566Z,2026-05-21T16:55:06.478566Z,bidirectional,1.885,2.898,1.013,1.885,TOU
research_20260521_100-0021,user-004,EVSE-045,2026-05-21T03:13:58.067847Z,2026-05-21T03:43:58.067847Z,bidirectional,-0.048,2.557,2.605,-0.048,TOU
research_20260521_100-0022,user-008,EVSE-002,2026-05-21T18:38:41.726804Z,2026-05-21T19:38:41.726804Z,discharge_only,-11.192,0.0,11.192,-11.192,TOU
research_20260521_100-0023,user-003,EVSE-001,2026-05-21T10:02:57.047005Z,2026-05-21T10:42:57.047005Z,bidirectional,0.245,2.433,2.188,0.245,TOU
research_20260521_100-0024,user-004,EVSE-033,2026-05-21T15:14:31.264838Z,2026-05-21T15:34:31.264838Z,charge_only,7.517,7.517,0.0,7.517,TOU
research_20260521_100-0025,user-007,EVSE-011,2026-05-21T07:15:01.193014Z,2026-05-21T08:30:01.193014Z,bidirectional,0.817,4.91,4.093,0.817,TOU
research_20260521_100-0026,user-010,EVSE-030,2026-05-21T15:56:19.734733Z,2026-05-21T16:26:19.734733Z,discharge_only,-11.153,0.0,11.153,-11.153,TOU
research_20260521_100-0027,user-004,EVSE-008,2026-05-21T06:44:34.912901Z,2026-05-21T07:44:34.912901Z,discharge_only,-11.039,0.0,11.039,-11.039,TOU
research_20260521_100-0028,user-009,EVSE-005,2026-05-21T00:16:26.092055Z,2026-05-21T01:31:26.092055Z,charge_only,13.549,13.549,0.0,13.549,TOU
research_20260521_100-0029,user-006,EVSE-001,2026-05-21T16:18:37.093289Z,2026-05-21T17:33:37.093289Z,bidirectional,3.691,6.217,2.526,3.691,TOU
research_20260521_100-0030,user-007,EVSE-040,2026-05-21T03:30:02.097071Z,2026-05-21T04:30:02.097071Z,charge_only,21.809,21.809,0.0,21.809,TOU
research_20260521_100-0031,user-010,EVSE-014,2026-05-21T10:26:16.532667Z,2026-05-21T10:46:16.532667Z,charge_only,2.568,2.568,0.0,2.568,TOU
research_20260521_100-0032,user-007,EVSE-016,2026-05-21T17:18:18.628409Z,2026-05-21T18:18:18.628409Z,charge_only,11.264,11.264,0.0,11.264,TOU
research_20260521_100-0033,user-010,EVSE-013,2026-05-21T01:14:13.793280Z,2026-05-21T02:14:13.793280Z,bidirectional,9.654,14.861,5.207,9.654,TOU
research_20260521_100-0034,user-004,EVSE-027,2026-05-21T21:32:15.727209Z,2026-05-21T22:12:15.727209Z,charge_only,15.024,15.024,0.0,15.024,TOU
research_20260521_100-0035,user-006,EVSE-016,2026-05-21T08:43:45.446833Z,2026-05-21T09:43:45.446833Z,bidirectional,14.902,18.497,3.595,14.902,TOU
research_20260521_100-0036,user-007,EVSE-042,2026-05-21T15:54:35.332041Z,2026-05-21T16:54:35.332041Z,bidirectional,6.964,8.847,1.883,6.964,TOU
research_20260521_100-0037,user-001,EVSE-022,2026-05-21T21:45:00.190512Z,2026-05-21T22:15:00.190512Z,charge_only,5.412,5.412,0.0,5.412,TOU
research_20260521_100-0038,user-005,EVSE-031,2026-05-21T17:56:58.722376Z,2026-05-21T18:16:58.722376Z,bidirectional,3.361,5.245,1.884,3.361,TOU
research_20260521_100-0039,user-009,EVSE-004,2026-05-21T09:39:37.280020Z,2026-05-21T09:59:37.280020Z,bidirectional,-0.033,1.226,1.259,-0.033,TOU
research_20260521_100-0040,user-003,EVSE-010,2026-05-21T08:40:28.061799Z,2026-05-21T09:40:28.061799Z,charge_only,7.14,7.14,0.0,7.14,TOU
research_20260521_100-0041,user-002,EVSE-029,2026-05-21T00:07:45.474198Z,2026-05-21T00:27:45.474198Z,charge_only,7.132,7.132,0.0,7.132,TOU
research_20260521_100-0042,user-010,EVSE-005,2026-05-21T00:13:21.299096Z,2026-05-21T00:53:21.299096Z,charge_only,14.805,14.805,0.0,14.805,TOU
research_20260521_100-0043,user-010,EVSE-038,2026-05-21T12:42:19.561814Z,2026-05-21T13:02:19.561814Z,bidirectional,0.136,1.345,1.209,0.136,TOU
research_20260521_100-0044,user-007,EVSE-008,2026-05-21T21:13:43.327467Z,2026-05-21T21:43:43.327467Z,bidirectional,3.91,7.517,3.607,3.91,TOU
research_20260521_100-0045,user-007,EVSE-042,2026-05-21T01:21:32.772800Z,2026-05-21T02:36:32.772800Z,charge_only,27.548,27.548,0.0,27.548,TOU
research_20260521_100-0046,user-010,EVSE-008,2026-05-21T13:31:19.537117Z,2026-05-21T14:31:19.537117Z,charge_only,7.084,7.084,0.0,7.084,TOU
research_20260521_100-0047,user-009,EVSE-032,2026-05-21T04:11:06.289638Z,2026-05-21T04:31:06.289638Z,charge_only,7.108,7.108,0.0,7.108,TOU
research_20260521_100-0048,user-004,EVSE-036,2026-05-21T17:34:26.341013Z,2026-05-21T18:04:26.341013Z,discharge_only,-5.532,0.0,5.532,-5.532,TOU
research_20260521_100-0049,user-004,EVSE-046,2026-05-21T00:10:08.983156Z,2026-05-21T00:30:08.983156Z,charge_only,3.716,3.716,0.0,3.716,TOU
research_20260521_100-0050,user-008,EVSE-032,2026-05-21T18:08:01.649715Z,2026-05-21T19:23:01.649715Z,discharge_only,-8.67,0.0,8.67,-8.67,TOU
research_20260521_100-0051,user-008,EVSE-009,2026-05-21T15:42:01.291438Z,2026-05-21T16:57:01.291438Z,discharge_only,-27.453,0.0,27.453,-27.453,TOU
research_20260521_100-0052,user-002,EVSE-035,2026-05-21T03:00:09.951682Z,2026-05-21T04:00:09.951682Z,charge_only,7.328,7.328,0.0,7.328,TOU
research_20260521_100-0053,user-008,EVSE-007,2026-05-21T03:02:46.107297Z,2026-05-21T03:22:46.107297Z,bidirectional,0.308,3.683,3.375,0.308,TOU
research_20260521_100-0054,user-001,EVSE-012,2026-05-21T22:52:46.380306Z,2026-05-21T23:12:46.380306Z,discharge_only,-3.591,0.0,3.591,-3.591,TOU
research_20260521_100-0055,user-007,EVSE-019,2026-05-21T09:06:37.024158Z,2026-05-21T09:36:37.024158Z,charge_only,5.95,5.95,0.0,5.95,TOU
research_20260521_100-0056,user-008,EVSE-037,2026-05-21T01:17:51.641142Z,2026-05-21T02:32:51.641142Z,charge_only,13.517,13.517,0.0,13.517,TOU
research_20260521_100-0057,user-001,EVSE-029,2026-05-21T02:07:42.695199Z,2026-05-21T03:07:42.695199Z,charge_only,11.307,11.307,0.0,11.307,TOU
research_20260521_100-0058,user-003,EVSE-031,2026-05-21T21:49:12.476336Z,2026-05-21T22:29:12.476336Z,charge_only,6.836,6.836,0.0,6.836,TOU
research_20260521_100-0059,user-006,EVSE-007,2026-05-21T04:40:54.308665Z,2026-05-21T05:40:54.308665Z,bidirectional,4.861,6.0,1.139,4.861,TOU
research_20260521_100-0060,user-010,EVSE-035,2026-05-21T02:45:42.109373Z,2026-05-21T04:00:42.109373Z,charge_only,14.471,14.471,0.0,14.471,TOU
research_20260521_100-0061,user-003,EVSE-029,2026-05-21T02:44:00.249071Z,2026-05-21T03:04:00.249071Z,charge_only,3.552,3.552,0.0,3.552,TOU
research_20260521_100-0062,user-002,EVSE-041,2026-05-21T00:26:27.845137Z,2026-05-21T01:06:27.845137Z,charge_only,15.176,15.176,0.0,15.176,TOU
research_20260521_100-0063,user-006,EVSE-018,2026-05-21T18:08:15.647285Z,2026-05-21T18:38:15.647285Z,bidirectional,0.8,5.908,5.108,0.8,TOU
research_20260521_100-0064,user-003,EVSE-004,2026-05-21T11:01:05.384527Z,2026-05-21T11:31:05.384527Z,charge_only,3.485,3.485,0.0,3.485,TOU
research_20260521_100-0065,user-002,EVSE-026,2026-05-21T06:05:14.520237Z,2026-05-21T07:05:14.520237Z,charge_only,10.897,10.897,0.0,10.897,TOU
research_20260521_100-0066,user-008,EVSE-021,2026-05-21T22:13:10.402158Z,2026-05-21T22:33:10.402158Z,charge_only,3.725,3.725,0.0,3.725,TOU
research_20260521_100-0067,user-005,EVSE-031,2026-05-21T13:05:38.987921Z,2026-05-21T14:20:38.987921Z,bidirectional,9.82,11.552,1.732,9.82,TOU
research_20260521_100-0068,user-002,EVSE-047,2026-05-21T13:37:05.868797Z,2026-05-21T14:17:05.868797Z,charge_only,4.603,4.603,0.0,4.603,TOU
research_20260521_100-0069,user-005,EVSE-018,2026-05-21T15:32:37.769556Z,2026-05-21T16:47:37.769556Z,bidirectional,-2.465,11.969,14.434,-2.465,TOU
research_20260521_100-0070,user-006,EVSE-027,2026-05-21T15:33:31.576448Z,2026-05-21T16:03:31.576448Z,charge_only,3.557,3.557,0.0,3.557,TOU
research_20260521_100-0071,user-005,EVSE-043,2026-05-21T06:39:54.108387Z,2026-05-21T07:54:54.108387Z,bidirectional,22.619,24.665,2.046,22.619,TOU
research_20260521_100-0072,user-010,EVSE-009,2026-05-21T22:40:06.838784Z,2026-05-21T23:10:06.838784Z,charge_only,5.3,5.3,0.0,5.3,TOU
research_20260521_100-0073,user-009,EVSE-019,2026-05-21T10:34:26.283753Z,2026-05-21T11:14:26.283753Z,discharge_only,-4.727,0.0,4.727,-4.727,TOU
research_20260521_100-0074,user-006,EVSE-047,2026-05-21T19:51:30.157198Z,2026-05-21T21:06:30.157198Z,charge_only,13.979,13.979,0.0,13.979,TOU
research_20260521_100-0075,user-003,EVSE-049,2026-05-21T18:18:46.371451Z,2026-05-21T18:48:46.371451Z,bidirectional,0.23,2.808,2.578,0.23,TOU
research_20260521_100-0076,user-010,EVSE-006,2026-05-21T08:33:05.505830Z,2026-05-21T09:48:05.505830Z,charge_only,14.524,14.524,0.0,14.524,TOU
research_20260521_100-0077,user-008,EVSE-004,2026-05-21T10:03:19.539200Z,2026-05-21T10:23:19.539200Z,charge_only,3.436,3.436,0.0,3.436,TOU
research_20260521_100-0078,user-006,EVSE-040,2026-05-21T00:24:21.885794Z,2026-05-21T00:44:21.885794Z,charge_only,7.893,7.893,0.0,7.893,TOU
research_20260521_100-0079,user-005,EVSE-039,2026-05-21T14:41:07.209257Z,2026-05-21T15:21:07.209257Z,charge_only,14.074,14.074,0.0,14.074,TOU
research_20260521_100-0080,user-010,EVSE-043,2026-05-21T08:03:23.914041Z,2026-05-21T08:43:23.914041Z,charge_only,6.849,6.849,0.0,6.849,TOU
research_20260521_100-0081,user-009,EVSE-034,2026-05-21T21:44:25.663818Z,2026-05-21T22:44:25.663818Z,discharge_only,-22.208,0.0,22.208,-22.208,TOU
research_20260521_100-0082,user-010,EVSE-031,2026-05-21T20:50:17.362820Z,2026-05-21T21:50:17.362820Z,bidirectional,0.04,3.485,3.445,0.04,TOU
research_20260521_100-0083,user-010,EVSE-008,2026-05-21T00:21:24.401839Z,2026-05-21T01:21:24.401839Z,charge_only,10.732,10.732,0.0,10.732,TOU
research_20260521_100-0084,user-005,EVSE-003,2026-05-21T13:11:58.819360Z,2026-05-21T14:26:58.819360Z,charge_only,9.311,9.311,0.0,9.311,TOU
research_20260521_100-0085,user-003,EVSE-040,2026-05-21T05:46:16.124228Z,2026-05-21T06:46:16.124228Z,charge_only,11.175,11.175,0.0,11.175,TOU
research_20260521_100-0086,user-008,EVSE-016,2026-05-21T09:39:41.746700Z,2026-05-21T09:59:41.746700Z,charge_only,7.473,7.473,0.0,7.473,TOU
research_20260521_100-0087,user-002,EVSE-048,2026-05-21T11:25:10.934217Z,2026-05-21T12:05:10.934217Z,charge_only,4.648,4.648,0.0,4.648,TOU
research_20260521_100-0088,user-006,EVSE-012,2026-05-21T18:11:46.720133Z,2026-05-21T18:31:46.720133Z,charge_only,7.148,7.148,0.0,7.148,TOU
research_20260521_100-0089,user-008,EVSE-020,2026-05-21T08:49:18.022754Z,2026-05-21T09:19:18.022754Z,charge_only,3.751,3.751,0.0,3.751,TOU
research_20260521_100-0090,user-009,EVSE-026,2026-05-21T12:37:18.260073Z,2026-05-21T12:57:18.260073Z,bidirectional,-0.003,3.668,3.671,-0.003,TOU
research_20260521_100-0091,user-007,EVSE-012,2026-05-21T15:50:47.235306Z,2026-05-21T16:20:47.235306Z,charge_only,5.52,5.52,0.0,5.52,TOU
research_20260521_100-0092,user-002,EVSE-041,2026-05-21T16:06:47.720178Z,2026-05-21T16:46:47.720178Z,discharge_only,-6.951,0.0,6.951,-6.951,TOU
research_20260521_100-0093,user-002,EVSE-010,2026-05-21T07:52:29.712000Z,2026-05-21T08:52:29.712000Z,charge_only,10.954,10.954,0.0,10.954,TOU
research_20260521_100-0094,user-006,EVSE-012,2026-05-21T13:19:43.645415Z,2026-05-21T13:39:43.645415Z,bidirectional,-0.052,3.693,3.745,-0.052,TOU
research_20260521_100-0095,user-009,EVSE-029,2026-05-21T21:09:25.449990Z,2026-05-21T21:49:25.449990Z,discharge_only,-15.014,0.0,15.014,-15.014,TOU
research_20260521_100-0096,user-006,EVSE-041,2026-05-21T07:57:18.642102Z,2026-05-21T08:17:18.642102Z,charge_only,7.402,7.402,0.0,7.402,TOU
research_20260521_100-0097,user-004,EVSE-005,2026-05-21T21:04:14.283881Z,2026-05-21T21:34:14.283881Z,bidirectional,1.397,2.413,1.016,1.397,TOU
research_20260521_100-0098,user-008,EVSE-010,2026-05-21T11:21:59.895423Z,2026-05-21T12:21:59.895423Z,bidirectional,12.288,17.4,5.112,12.288,TOU
research_20260521_100-0099,user-004,EVSE-037,2026-05-21T15:40:43.605686Z,2026-05-21T16:55:43.605686Z,charge_only,13.43,13.43,0.0,13.43,TOU
research_20260521_100-0100,user-002,EVSE-039,2026-05-21T22:53:32.100196Z,2026-05-22T00:08:32.100196Z,charge_only,13.486,13.486,0.0,13.486,TOU
research_20260521_1000-0001,user-002,EVSE-046,2026-05-21T23:22:59.070749Z,2026-05-22T00:02:59.070749Z,bidirectional,3.404,4.028,0.624,3.404,TOU
research_20260521_1000-0002,user-004,EVSE-023,2026-05-21T13:12:08.338401Z,2026-05-21T13:52:08.338401Z,charge_only,4.893,4.893,0.0,4.893,TOU
research_20260521_1000-0003,user-008,EVSE-041,2026-05-21T11:06:49.892898Z,2026-05-21T12:06:49.892898Z,charge_only,7.318,7.318,0.0,7.318,TOU
research_20260521_1000-0004,user-006,EVSE-036,2026-05-21T18:57:18.592541Z,2026-05-21T19:37:18.592541Z,charge_only,15.207,15.207,0.0,15.207,TOU
research_20260521_1000-0005,user-001,EVSE-014,2026-05-21T18:29:10.246582Z,2026-05-21T18:49:10.246582Z,discharge_only,-3.741,0.0,3.741,-3.741,TOU
research_20260521_1000-0006,user-008,EVSE-009,2026-05-21T20:33:15.894586Z,2026-05-21T21:03:15.894586Z,charge_only,3.466,3.466,0.0,3.466,TOU
research_20260521_1000-0007,user-001,EVSE-001,2026-05-21T03:19:00.708605Z,2026-05-21T03:49:00.708605Z,bidirectional,0.471,5.582,5.111,0.471,TOU
research_20260521_1000-0008,user-009,EVSE-041,2026-05-21T05:57:44.158115Z,2026-05-21T06:37:44.158115Z,bidirectional,2.666,3.714,1.048,2.666,TOU
research_20260521_1000-0009,user-006,EVSE-036,2026-05-21T05:40:59.066874Z,2026-05-21T06:55:59.066874Z,charge_only,27.805,27.805,0.0,27.805,TOU
research_20260521_1000-0010,user-010,EVSE-029,2026-05-21T13:49:40.881967Z,2026-05-21T14:19:40.881967Z,charge_only,10.482,10.482,0.0,10.482,TOU
research_20260521_1000-0011,user-006,EVSE-031,2026-05-21T23:28:42.639935Z,2026-05-22T00:43:42.639935Z,charge_only,8.959,8.959,0.0,8.959,TOU
research_20260521_1000-0012,user-002,EVSE-013,2026-05-21T08:10:03.890442Z,2026-05-21T08:50:03.890442Z,discharge_only,-7.311,0.0,7.311,-7.311,TOU
research_20260521_1000-0013,user-007,EVSE-026,2026-05-21T19:34:46.633708Z,2026-05-21T20:34:46.633708Z,charge_only,7.205,7.205,0.0,7.205,TOU
research_20260521_1000-0014,user-001,EVSE-034,2026-05-21T00:20:09.315897Z,2026-05-21T01:00:09.315897Z,bidirectional,-0.141,3.852,3.993,-0.141,TOU
research_20260521_1000-0015,user-002,EVSE-040,2026-05-21T03:33:04.004082Z,2026-05-21T03:53:04.004082Z,bidirectional,3.936,6.033,2.097,3.936,TOU
research_20260521_1000-0016,user-010,EVSE-040,2026-05-21T11:26:11.573378Z,2026-05-21T12:06:11.573378Z,charge_only,4.855,4.855,0.0,4.855,TOU
research_20260521_1000-0017,user-002,EVSE-036,2026-05-21T11:04:48.387486Z,2026-05-21T12:19:48.387486Z,bidirectional,2.972,8.628,5.656,2.972,TOU
research_20260521_1000-0018,user-004,EVSE-018,2026-05-21T06:45:38.307031Z,2026-05-21T07:15:38.307031Z,charge_only,11.507,11.507,0.0,11.507,TOU
research_20260521_1000-0019,user-003,EVSE-038,2026-05-21T08:41:33.404201Z,2026-05-21T09:21:33.404201Z,charge_only,4.68,4.68,0.0,4.68,TOU
research_20260521_1000-0020,user-001,EVSE-040,2026-05-21T16:35:06.478566Z,2026-05-21T16:55:06.478566Z,bidirectional,1.885,2.898,1.013,1.885,TOU
research_20260521_1000-0021,user-004,EVSE-045,2026-05-21T03:13:58.067847Z,2026-05-21T03:43:58.067847Z,bidirectional,-0.048,2.557,2.605,-0.048,TOU
research_20260521_1000-0022,user-008,EVSE-002,2026-05-21T18:38:41.726804Z,2026-05-21T19:38:41.726804Z,discharge_only,-11.192,0.0,11.192,-11.192,TOU
research_20260521_1000-0023,user-003,EVSE-001,2026-05-21T10:02:57.047005Z,2026-05-21T10:42:57.047005Z,bidirectional,0.245,2.433,2.188,0.245,TOU
research_20260521_1000-0024,user-004,EVSE-033,2026-05-21T15:14:31.264838Z,2026-05-21T15:34:31.264838Z,charge_only,7.517,7.517,0.0,7.517,TOU
research_20260521_1000-0025,user-007,EVSE-011,2026-05-21T07:15:01.193014Z,2026-05-21T08:30:01.193014Z,bidirectional,0.817,4.91,4.093,0.817,TOU
research_20260521_1000-0026,user-010,EVSE-030,2026-05-21T15:56:19.734733Z,2026-05-21T16:26:19.734733Z,discharge_only,-11.153,0.0,11.153,-11.153,TOU
research_20260521_1000-0027,user-004,EVSE-008,2026-05-21T06:44:34.912901Z,2026-05-21T07:44:34.912901Z,discharge_only,-11.039,0.0,11.039,-11.039,TOU
research_20260521_1000-0028,user-009,EVSE-005,2026-05-21T00:16:26.092055Z,2026-05-21T01:31:26.092055Z,charge_only,13.549,13.549,0.0,13.549,TOU
research_20260521_1000-0029,user-006,EVSE-001,2026-05-21T16:18:37.093289Z,2026-05-21T17:33:37.093289Z,bidirectional,3.691,6.217,2.526,3.691,TOU
research_20260521_1000-0030,user-007,EVSE-040,2026-05-21T03:30:02.097071Z,2026-05-21T04:30:02.097071Z,charge_only,21.809,21.809,0.0,21.809,TOU
research_20260521_1000-0031,user-010,EVSE-014,2026-05-21T10:26:16.532667Z,2026-05-21T10:46:16.532667Z,charge_only,2.568,2.568,0.0,2.568,TOU
research_20260521_1000-0032,user-007,EVSE-016,2026-05-21T17:18:18.628409Z,2026-05-21T18:18:18.628409Z,charge_only,11.264,11.264,0.0,11.264,TOU
research_20260521_1000-0033,user-010,EVSE-013,2026-05-21T01:14:13.793280Z,2026-05-21T02:14:13.793280Z,bidirectional,9.654,14.861,5.207,9.654,TOU
research_20260521_1000-0034,user-004,EVSE-027,2026-05-21T21:32:15.727209Z,2026-05-21T22:12:15.727209Z,charge_only,15.024,15.024,0.0,15.024,TOU
research_20260521_1000-0035,user-006,EVSE-016,2026-05-21T08:43:45.446833Z,2026-05-21T09:43:45.446833Z,bidirectional,14.902,18.497,3.595,14.902,TOU
research_20260521_1000-0036,user-007,EVSE-042,2026-05-21T15:54:35.332041Z,2026-05-21T16:54:35.332041Z,bidirectional,6.964,8.847,1.883,6.964,TOU
research_20260521_1000-0037,user-001,EVSE-022,2026-05-21T21:45:00.190512Z,2026-05-21T22:15:00.190512Z,charge_only,5.412,5.412,0.0,5.412,TOU
research_20260521_1000-0038,user-005,EVSE-031,2026-05-21T17:56:58.722376Z,2026-05-21T18:16:58.722376Z,bidirectional,3.361,5.245,1.884,3.361,TOU
research_20260521_1000-0039,user-009,EVSE-004,2026-05-21T09:39:37.280020Z,2026-05-21T09:59:37.280020Z,bidirectional,-0.033,1.226,1.259,-0.033,TOU
research_20260521_1000-0040,user-003,EVSE-010,2026-05-21T08:40:28.061799Z,2026-05-21T09:40:28.061799Z,charge_only,7.14,7.14,0.0,7.14,TOU
research_20260521_1000-0041,user-002,EVSE-029,2026-05-21T00:07:45.474198Z,2026-05-21T00:27:45.474198Z,charge_only,7.132,7.132,0.0,7.132,TOU
research_20260521_1000-0042,user-010,EVSE-005,2026-05-21T00:13:21.299096Z,2026-05-21T00:53:21.299096Z,charge_only,14.805,14.805,0.0,14.805,TOU
research_20260521_1000-0043,user-010,EVSE-038,2026-05-21T12:42:19.561814Z,2026-05-21T13:02:19.561814Z,bidirectional,0.136,1.345,1.209,0.136,TOU
research_20260521_1000-0044,user-007,EVSE-008,2026-05-21T21:13:43.327467Z,2026-05-21T21:43:43.327467Z,bidirectional,3.91,7.517,3.607,3.91,TOU
research_20260521_1000-0045,user-007,EVSE-042,2026-05-21T01:21:32.772800Z,2026-05-21T02:36:32.772800Z,charge_only,27.548,27.548,0.0,27.548,TOU
research_20260521_1000-0046,user-010,EVSE-008,2026-05-21T13:31:19.537117Z,2026-05-21T14:31:19.537117Z,charge_only,7.084,7.084,0.0,7.084,TOU
research_20260521_1000-0047,user-009,EVSE-032,2026-05-21T04:11:06.289638Z,2026-05-21T04:31:06.289638Z,charge_only,7.108,7.108,0.0,7.108,TOU
research_20260521_1000-0048,user-004,EVSE-036,2026-05-21T17:34:26.341013Z,2026-05-21T18:04:26.341013Z,discharge_only,-5.532,0.0,5.532,-5.532,TOU
research_20260521_1000-0049,user-004,EVSE-046,2026-05-21T00:10:08.983156Z,2026-05-21T00:30:08.983156Z,charge_only,3.716,3.716,0.0,3.716,TOU
research_20260521_1000-0050,user-008,EVSE-032,2026-05-21T18:08:01.649715Z,2026-05-21T19:23:01.649715Z,discharge_only,-8.67,0.0,8.67,-8.67,TOU
research_20260521_1000-0051,user-008,EVSE-009,2026-05-21T15:42:01.291438Z,2026-05-21T16:57:01.291438Z,discharge_only,-27.453,0.0,27.453,-27.453,TOU
research_20260521_1000-0052,user-002,EVSE-035,2026-05-21T03:00:09.951682Z,2026-05-21T04:00:09.951682Z,charge_only,7.328,7.328,0.0,7.328,TOU
research_20260521_1000-0053,user-008,EVSE-007,2026-05-21T03:02:46.107297Z,2026-05-21T03:22:46.107297Z,bidirectional,0.308,3.683,3.375,0.308,TOU
research_20260521_1000-0054,user-001,EVSE-012,2026-05-21T22:52:46.380306Z,2026-05-21T23:12:46.380306Z,discharge_only,-3.591,0.0,3.591,-3.591,TOU
