session_id,user_id,energy_kwh,import_kwh,export_kwh,net_kwh,start_ts,end_ts,batch_day,receipt_hash,merkle_root,batch_root
run_20260521_224941-0011,user-006,8.959,8.959,0.0,8.959,2026-05-23T23:28:42.639935Z,2026-05-24T00:43:42.639935Z,2026-05-23,0xa3b635d16b1782bd0a31f6b76c9909eaa30eb981f42a65fdef08966165c1aceb,0xe6b0a76ae277209a614e3040ee564842d93bb94f0503620b8cde662feb84ea19,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0012,user-002,-7.311,0.0,7.311,-7.311,2026-05-23T08:10:03.890442Z,2026-05-23T08:50:03.890442Z,2026-05-23,0xd1559d4cd6a6ad969e56f854274b16820a66c8b3f66d389f6e48635f89c8865e,0x43bfcaf2f2e6151d16f69725c896551400850c8c42171fe4d24da41d4c5b2f26,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0013,user-007,7.205,7.205,0.0,7.205,2026-05-23T19:34:46.633708Z,2026-05-23T20:34:46.633708Z,2026-05-23,0xe71295fcf1b2191bd65803ed3f239eb7cb92b511684a46e0d95139324747b8e2,0x4f0b4820ec1a2d41bba7316ffb1da6dc5521bc263380cbf369ff6281776140bd,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0014,user-001,-0.141,3.852,3.993,-0.141,2026-05-23T00:20:09.315897Z,2026-05-23T01:00:09.315897Z,2026-05-23,0xcd07adfc653cd0cf793314f607d23c52789f22a102a606017edf4dc117637f58,0xb0493eab5e483137f406fc44f5f6be75d200b6a2b3566ea540dacc6da0e57a3d,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0015,user-002,3.936,6.033,2.097,3.936,2026-05-23T03:33:04.004082Z,2026-05-23T03:53:04.004082Z,2026-05-23,0xff101fa9fdd46a9c4b18a88f9b7983babc80057d12d5679f6ea9a7b8c8dbe9d9,0xce1c8e3381194688a7cdf1001794cd9ffe34c17f5400b0ce85b51be6a483d21c,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0016,user-010,4.855,4.855,0.0,4.855,2026-05-23T11:26:11.573378Z,2026-05-23T12:06:11.573378Z,2026-05-23,0x0cb8357b6db8e1c50e7a21bf79e13c3785d653a793b2b2390208aeace607ccd4,0x1120e529c16035ee4b1f29f9403c3e5d33d4fde52f151a02ca7ed0967562ca69,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0017,user-002,2.972,8.628,5.656,2.972,2026-05-23T11:04:48.387486Z,2026-05-23T12:19:48.387486Z,2026-05-23,0xc0a2879249ac278ed6b45afe46e0e16a7436fc8c5d1aa2a4dcfb4bfc2d8c2fdc,0x5d85be3f56862af2182a78f6b93a06e618526c2bb84444740bd245bbca3e18c1,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0018,user-004,11.507,11.507,0.0,11.507,2026-05-23T06:45:38.307031Z,2026-05-23T07:15:38.307031Z,2026-05-23,0x4cab6d9547198903967910ad9eb910a94341277d402cf009be485603ea1e4f78,0x5bea236f139742b02db14bcbe862ff341c966d47fa492bc8e43da54653b614ba,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0019,user-003,4.68,4.68,0.0,4.68,2026-05-23T08:41:33.404201Z,2026-05-23T09:21:33.404201Z,2026-05-23,0x2b530172c402ade37d6459f22c9a96564dd4e05050fae6b1355e9c0cddc0ceca,0x9ef164102372bdba08007f9ae5fff953a848a079101bb7f296c25c1d8738ba4e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0020,user-001,1.885,2.898,1.013,1.885,2026-05-23T16:35:06.478566Z,2026-05-23T16:55:06.478566Z,2026-05-23,0xdd706d8a7086c87390214d7e437aa6127a21207e8c36abd6fe9d2587a70747e9,0xc671533d406e9ca0bc2121e386d36f199f695f0b502ba3ad929a7a28b9b54dd0,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0021,user-004,-0.048,2.557,2.605,-0.048,2026-05-23T03:13:58.067847Z,2026-05-23T03:43:58.067847Z,2026-05-23,0x5d269a4e9051d49156608cb2f3a97411a37a829818b9e652967e9bc703d8b8ce,0x08bcfb1826cdb23380707811f4c248cba6bd4f28676ef07893febb8a0ad79219,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0022,user-008,-11.192,0.0,11.192,-11.192,2026-05-23T18:38:41.726804Z,2026-05-23T19:38:41.726804Z,2026-05-23,0x2a2f66bd0e53660268190b415a94064dfe30fb9f6a77f8e14f62ae87de098d1f,0x47eabebf4ce4db46602883f7699a889bc715e80eb6dd8eb8f85f5c2ac26b047c,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0023,user-003,0.245,2.433,2.188,0.245,2026-05-23T10:02:57.047005Z,2026-05-23T10:42:57.047005Z,2026-05-23,0xf9147ffa028a91a6f04a52557bbf22f8f1ec75ed97a1b17b44be1b99ee08a4f3,0x9f091dedf9573945e1fc8145ec9b406c34f54534cb785d68ec1351b51786d662,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0024,user-004,7.517,7.517,0.0,7.517,2026-05-23T15:14:31.264838Z,2026-05-23T15:34:31.264838Z,2026-05-23,0xfca00101b6a90e92f3cf60b043321b6cf1f89701b976f21f0442828d907bb621,0x428d07013cde4246af04f6be38e4e83faf6a4e9bc3ec56ce3e18e8843ac2e23e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0025,user-007,0.817,4.91,4.093,0.817,2026-05-23T07:15:01.193014Z,2026-05-23T08:30:01.193014Z,2026-05-23,0xc2842f29975df113463d4c6ac44c85c5617c164898ed6c398c2cc39ac39a4b52,0xa1f9be750f3b15c94d9b7c51a3de58d373558740daa35399928e8879286440d1,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0026,user-010,-11.153,0.0,11.153,-11.153,2026-05-23T15:56:19.734733Z,2026-05-23T16:26:19.734733Z,2026-05-23,0x396c4f95a21055b6a48d3c867e0dbb935fdcf31401c241526da6be8b345e7165,0x3de3eb793bfed9606550aabb035dac3a3626379f978b8ec712900ee0aedfef03,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0027,user-004,-11.039,0.0,11.039,-11.039,2026-05-23T06:44:34.912901Z,2026-05-23T07:44:34.912901Z,2026-05-23,0x48ce9607ccd01abdd05fd6bfad48aa5d61dbb09ade523ce99a23a0fe0d4f7ef6,0xb68cfc4abc0bf13dd9ddb613c13ba68126a233c4273966ba1a1d178cdb726bb0,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0028,user-009,13.549,13.549,0.0,13.549,2026-05-23T00:16:26.092055Z,2026-05-23T01:31:26.092055Z,2026-05-23,0x79f673013fc4f71e94e951ba19654d437a43064664a0bb31ec97d63a77973438,0xc58459cdcd624c76ef525fc05c9f5c1f4d5d8fe717ded736427c9dbb82445e6a,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0029,user-006,3.691,6.217,2.526,3.691,2026-05-23T16:18:37.093289Z,2026-05-23T17:33:37.093289Z,2026-05-23,0x4d4701be72619fd58062d5159c0763d8884ead27b236104a8216a00f355ff68e,0xba23516950830465da92a1d6803ec587ea52eeaacdc242718828fe617267252c,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0030,user-007,21.809,21.809,0.0,21.809,2026-05-23T03:30:02.097071Z,2026-05-23T04:30:02.097071Z,2026-05-23,0x42c7307b793a7c93cf943adab866e6a086052deb88e48af79fa18538172e9e82,0x645a0b4371f200d95216f1fb912af21b5e0da9940064b92c5362d2883ad8d062,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0031,user-010,2.568,2.568,0.0,2.568,2026-05-23T10:26:16.532667Z,2026-05-23T10:46:16.532667Z,2026-05-23,0x266010227d3638687e7a86d075ecea5c21d5eaf3ece8a5591bb509f513138c3c,0xafe8b7f49130551dc982437c907aa50d4dc33c7be92432b3c8680cdbede7c64f,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0032,user-007,11.264,11.264,0.0,11.264,2026-05-23T17:18:18.628409Z,2026-05-23T18:18:18.628409Z,2026-05-23,0x4b4fa22d1a8fa47c97d0d2c55864790db91a794b4540df80a9efca1cab3e676e,0x9f2ec306ee429b16e2b97417991713057725229a1e0a004c0fdc87712d336279,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0033,user-010,9.654,14.861,5.207,9.654,2026-05-23T01:14:13.793280Z,2026-05-23T02:14:13.793280Z,2026-05-23,0x1c08e5032a89db4a7d025550f453e97df7aa97ba653d4560473ecbe786d72790,0x9a980aac7e9790953421ea2986a710e6e8cc86d47f1d5bfe15a818d18a740166,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0034,user-004,15.024,15.024,0.0,15.024,2026-05-23T21:32:15.727209Z,2026-05-23T22:12:15.727209Z,2026-05-23,0xb1eb58d14a66dcd65eb5d734ebf162d793e5394fef9f9b8bb503a6b238d897ef,0x4ae9aabe9ca8b9ac122f0e12905b8d840a261774f91ca126cb4a5c44f2446203,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0035,user-006,14.902,18.497,3.595,14.902,2026-05-23T08:43:45.446833Z,2026-05-23T09:43:45.446833Z,2026-05-23,0x4f235d8e70295aa01212df6d03ca5efb137424b158d5468021d7bdfac8c39d3a,0x0e6d03b16ba69b781686f85cc465878eda0f81b1abfafc0963088aa9d0baf8ce,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0036,user-007,6.964,8.847,1.883,6.964,2026-05-23T15:54:35.332041Z,2026-05-23T16:54:35.332041Z,2026-05-23,0x2f2e98d284b10ab19ea15fe9257bd15853e990e1b2dd407e0790e68c04aab914,0x991d8e64f5f4e6941848e79146dabb9ee83a5db2c200202ca7adef06f8cf8da2,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0037,user-001,5.412,5.412,0.0,5.412,2026-05-23T21:45:00.190512Z,2026-05-23T22:15:00.190512Z,2026-05-23,0x14bdc4a181e3f6722eb07e3dd0535138d5ba07f19f456fd838233d0602750bdf,0xf1d1cefed23c7c52a5ef62a21b6a2e9788d38b67a586212f25f4f04b49806bfa,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0038,user-005,3.361,5.245,1.884,3.361,2026-05-23T17:56:58.722376Z,2026-05-23T18:16:58.722376Z,2026-05-23,0x1cd4460d51b5c633d1856807fde8b08741d1ef5e5ec5ceb8325afafbb48cbb54,0x6da089c5afdf8ad008716e6aad03b6a02f5971fb58463728615e53e95c8a6991,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0039,user-009,-0.033,1.226,1.259,-0.033,2026-05-23T09:39:37.280020Z,2026-05-23T09:59:37.280020Z,2026-05-23,0x4c5dc3cf0d9f9d9dd42ee54f524b80d0142b2ccc537402f1bc7aad360c3bf4d5,0xf71d70366b9c64552190b9fedba9b5be2114369034a893a928507083b35a15d2,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0040,user-003,7.14,7.14,0.0,7.14,2026-05-23T08:40:28.061799Z,2026-05-23T09:40:28.061799Z,2026-05-23,0x0fb8c205ab1d07fdf00babc464ebe4a0f434d66f2f02316b0707d9b8b86e0128,0x124d250641ffb2d56c7f9706a5819f33cc2eb5b7a6929f58ced75e12d3ab519a,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0041,user-002,7.132,7.132,0.0,7.132,2026-05-23T00:07:45.474198Z,2026-05-23T00:27:45.474198Z,2026-05-23,0x8777325a301d14dd7eda6929cfda1b5dff0129f4b49ea2248c5f990ef5825745,0xecf88ca8eb9902d69a9518aba5f5282fd9c2eb80a9df152c05550d233e89b5c3,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0042,user-010,14.805,14.805,0.0,14.805,2026-05-23T00:13:21.299096Z,2026-05-23T00:53:21.299096Z,2026-05-23,0x168fccf8bafa8bdb9decfd630c4f9737a0bebc9712f49ce402e30d2c4ca17a3b,0x19292cdbff285f53be87fabfcd739a9b01854abab8bd0c3d66d3d71b5eae1ee0,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0043,user-010,0.136,1.345,1.209,0.136,2026-05-23T12:42:19.561814Z,2026-05-23T13:02:19.561814Z,2026-05-23,0xd657c690370df9867888aa631def602207d4d693fe4ecda83ef343e0b39db2d5,0xd684ba83ecca4949e43ce396845fe248c9a066f6ff17a08b113a2cac02767a4c,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0044,user-007,3.91,7.517,3.607,3.91,2026-05-23T21:13:43.327467Z,2026-05-23T21:43:43.327467Z,2026-05-23,0xf235f195042b14d0945a4c909a13416c53fbbdac5640cbced2cbc5fda533b5fa,0x4432b31223b224fdb6edd46c6a9d187814ac6b11d1519fdba64188786f0c7de9,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0045,user-007,27.548,27.548,0.0,27.548,2026-05-23T01:21:32.772800Z,2026-05-23T02:36:32.772800Z,2026-05-23,0x992fa69694ead32c4087fb6f6e0d121fea3d9dc4698129e863b75c14c1435d97,0xd375a77bec844c21ad9d8183f89c3ae6d2a6832e5c9a0797604d97d047f6d0e4,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0046,user-010,7.084,7.084,0.0,7.084,2026-05-23T13:31:19.537117Z,2026-05-23T14:31:19.537117Z,2026-05-23,0x9d741ae08486c7aa9fff32aeead4bcdb77d2dd7dc989199cf4e76149924b4c37,0x0e0875871366d6a01bd8e9093669cb337669a45ce8508865d099239e7ae9c7e9,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0047,user-009,7.108,7.108,0.0,7.108,2026-05-23T04:11:06.289638Z,2026-05-23T04:31:06.289638Z,2026-05-23,0xd37232fc3726c6049b5fc24cd73756605d760b6478feab1c6e9882f430464f5d,0xfed47501f9760ca538d70772c1bc44e95329a4652c20e59a067a2240b32eb739,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0048,user-004,-5.532,0.0,5.532,-5.532,2026-05-23T17:34:26.341013Z,2026-05-23T18:04:26.341013Z,2026-05-23,0xa26740c0373990a819cd4440c9724779a0288d5009d266717a69d90acb983e84,0xea0a1cf14ecafb63cde8632357c17c7586300fc5822179129447c82e7ab97e3c,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0049,user-004,3.716,3.716,0.0,3.716,2026-05-23T00:10:08.983156Z,2026-05-23T00:30:08.983156Z,2026-05-23,0xbeb891f7468ae101ffc5f0ddd82ff36847052a7dee912985b5fd0effc07ccaf8,0x440fa4d5133e430d98b540d585f8fb8c26f8c695b0eedb565c592d41b3e80875,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0050,user-008,-8.67,0.0,8.67,-8.67,2026-05-23T18:08:01.649715Z,2026-05-23T19:23:01.649715Z,2026-05-23,0x20ed433afb475d89aaf3b26be173b1a0a08229c81ec269d83b7ac325db687dc7,0x711f869b7cf32eaa2a11a16863064fdecb2b20b992c9c0f3a4ebdc02103c3605,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0051,user-008,-27.453,0.0,27.453,-27.453,2026-05-23T15:42:01.291438Z,2026-05-23T16:57:01.291438Z,2026-05-23,0x696f9b78af97d2cd5cff36a675c9b97ccbf70598c39051f84715114dde098042,0x1070fd5ad38d1345cbf509c8b832d0ee7bb22d395b780ae88fbac7bc78a71315,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0052,user-002,7.328,7.328,0.0,7.328,2026-05-23T03:00:09.951682Z,2026-05-23T04:00:09.951682Z,2026-05-23,0xdbdc2f76391c438b5cbc6d49ad969c79d01db4941d7f7211af93534a20dae5a7,0x08cc291be4d725b8b0e807bc7f2c69750e3d81d5ceec758e7b785bafebc7b20e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0053,user-008,0.308,3.683,3.375,0.308,2026-05-23T03:02:46.107297Z,2026-05-23T03:22:46.107297Z,2026-05-23,0xf5a4d52b23e82c18b34204da09266bc7383646e951778155021be3595b9da7f7,0x2a3d6bbcb0fdad3e34f499e80ecc00ea8ed43d81162f13cd7531bd66f7adf56e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0054,user-001,-3.591,0.0,3.591,-3.591,2026-05-23T22:52:46.380306Z,2026-05-23T23:12:46.380306Z,2026-05-23,0xa6ec82167bd079be6fadab5a9e464ea9ed103f3a8e76204e3d69ce6bb745f6fe,0x10daac74c12209fd351b4a5f9bf2a3c81339049d0a6787c165dc8fbefd0cb38d,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0055,user-007,5.95,5.95,0.0,5.95,2026-05-23T09:06:37.024158Z,2026-05-23T09:36:37.024158Z,2026-05-23,0xfd39c32503e7b3827e10b28354c54d8ce65b9a589588de77f735f9c80fd111f5,0x0797992fc6218ab04847244f8b37805c8ca137dead1a9259945076e5b2d4dde5,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0056,user-008,13.517,13.517,0.0,13.517,2026-05-23T01:17:51.641142Z,2026-05-23T02:32:51.641142Z,2026-05-23,0xd5c91d740f347c1b65fd013f3322487ac8ae87037fc8c8aaf85764a8e9b7acf2,0x3dfdb5cefa806260fcd083b24e05b91f8d2d809d7fa29b4f23198cfa6c77da56,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0057,user-001,11.307,11.307,0.0,11.307,2026-05-23T02:07:42.695199Z,2026-05-23T03:07:42.695199Z,2026-05-23,0xfa2474dfc1e448f09519b5d1e7476662bebf3397c64fad98521c63c0f4392d82,0x37eaf42d0d602090afc2a01ad260f50df57d1a193f0a31d21d97e9244b2a86a6,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0058,user-003,6.836,6.836,0.0,6.836,2026-05-23T21:49:12.476336Z,2026-05-23T22:29:12.476336Z,2026-05-23,0x64f5cf4bea39dd0ade6c95cb82050692235ffd2d6f69e8c1cf8f92665fb06202,0xa779181cb1dc0f7e78a852701434e0f4b986f70089c19ec4613cca3056eeaac9,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0059,user-006,4.861,6.0,1.139,4.861,2026-05-23T04:40:54.308665Z,2026-05-23T05:40:54.308665Z,2026-05-23,0xdaa6e60bff7f04e836f357a98e6ab7c8a15d0bde8f0a969c2517055481ee3288,0xa9b37d3684b2e2b5dc12e450d1195aae9ad536cb8e6aed540614fe69938a16c8,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0060,user-010,14.471,14.471,0.0,14.471,2026-05-23T02:45:42.109373Z,2026-05-23T04:00:42.109373Z,2026-05-23,0x1e26b34291bc54350497b5812acc852635f1523ac9b8c12c8482e02d92fd0417,0xc6adc6a75163f418fcc8ef5bd061ee97134856c82e4eab0323901cb659b6357d,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0061,user-003,3.552,3.552,0.0,3.552,2026-05-23T02:44:00.249071Z,2026-05-23T03:04:00.249071Z,2026-05-23,0x20f554913dc22bb8c1ec0af96eb7896df1d19533793b740f25bfd351398bc4be,0xe96b63a0c8f053d16e8085662699f17960281551a06ab9373e84ab994d629d42,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0062,user-002,15.176,15.176,0.0,15.176,2026-05-23T00:26:27.845137Z,2026-05-23T01:06:27.845137Z,2026-05-23,0x1f675b9168661918eeb1ce013a2f527bc3f63d9c64def1e56ecfafa253fba91a,0x291b53fce555993fdac4291411f8e875c8b5ec5636f99bc1ce4ec2237638471b,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0063,user-006,0.8,5.908,5.108,0.8,2026-05-23T18:08:15.647285Z,2026-05-23T18:38:15.647285Z,2026-05-23,0xb82b2add941502ea1176deeeacb89f94ed721f423339a06cfcd919a1b3e14f46,0xdb7dfaeced82fc81f93c1f84f367b6e97ce8534ee7b70eceb7f524b47bf6db26,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0064,user-003,3.485,3.485,0.0,3.485,2026-05-23T11:01:05.384527Z,2026-05-23T11:31:05.384527Z,2026-05-23,0x4f68a45a62d1cc13886cbb10789339b57e4edbf15829c8eb4b93421a59dd94f3,0x612f3cbb3e154672d9b049c3d9cd0785d2aad527f20bf14471fec8512e230ddb,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0065,user-002,10.897,10.897,0.0,10.897,2026-05-23T06:05:14.520237Z,2026-05-23T07:05:14.520237Z,2026-05-23,0x91c08062d79a335fc66391c0bde4b2ee591cd86f5ab229f6f6c5ffb2281aa252,0x54ea6c3921b9137981930ee04ce00e9c86f887ed75b08de9e617612a15fe9d8e,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
run_20260521_224941-0066,user-008,3.725,3.725,0.0,3.725,2026-05-23T22:13:10.402158Z,2026-05-23T22:33:10.402158Z,2026-05-23,0x47474efbc9db6a7789f9d3d84350cc7fde546c8382df95f773bb200ab024de18,0x2c6a33a14e71d5870a355946f005beb85fcb91e94a45a80dc12f91666480302f,0xbe1369722ce118053c2d04f154ff377fa20008e7129f687a7bcf68ac50a4f620
