session_id,evse_id,start_ts,end_ts,tariff_model
run_20260217_220238-0089,EVSE-045,2026-02-17T06:10:27.629315Z,2026-02-17T07:10:27.629315Z,TOU
run_20260217_220238-0090,EVSE-048,2026-02-17T21:52:05.578256Z,2026-02-17T22:12:05.578256Z,TOU
run_20260217_220238-0091,EVSE-042,2026-02-17T15:59:22.871017Z,2026-02-17T16:29:22.871017Z,TOU
run_20260217_220238-0092,EVSE-032,2026-02-17T18:18:46.371451Z,2026-02-17T18:48:46.371451Z,TOU
run_20260217_220238-0093,EVSE-024,2026-02-17T10:27:13.254244Z,2026-02-17T11:42:13.254244Z,TOU
run_20260217_220238-0094,EVSE-048,2026-02-17T22:08:30.441499Z,2026-02-17T22:28:30.441499Z,TOU
run_20260217_220238-0095,EVSE-040,2026-02-17T13:11:23.008005Z,2026-02-17T14:26:23.008005Z,TOU
run_20260217_220238-0096,EVSE-019,2026-02-17T15:02:05.588746Z,2026-02-17T15:42:05.588746Z,TOU
run_20260217_220238-0097,EVSE-044,2026-02-17T03:32:44.675137Z,2026-02-17T04:47:44.675137Z,TOU
run_20260217_220238-0098,EVSE-048,2026-02-17T21:44:25.663818Z,2026-02-17T22:44:25.663818Z,TOU
run_20260217_220238-0099,EVSE-027,2026-02-17T23:04:38.616660Z,2026-02-17T23:44:38.616660Z,TOU
run_20260217_220238-0100,EVSE-019,2026-02-17T06:42:47.797784Z,2026-02-17T07:42:47.797784Z,TOU
run_20260217_220238-0101,EVSE-018,2026-02-17T11:54:48.861855Z,2026-02-17T12:54:48.861855Z,TOU
run_20260217_220238-0102,EVSE-046,2026-02-17T11:39:46.323443Z,2026-02-17T12:39:46.323443Z,TOU
run_20260217_220238-0103,EVSE-001,2026-02-17T04:59:24.712922Z,2026-02-17T05:29:24.712922Z,TOU
run_20260217_220238-0104,EVSE-004,2026-02-17T23:31:38.064344Z,2026-02-18T00:01:38.064344Z,TOU
run_20260217_220238-0105,EVSE-024,2026-02-17T08:38:54.570340Z,2026-02-17T09:53:54.570340Z,TOU
run_20260217_220238-0106,EVSE-042,2026-02-17T11:21:28.463924Z,2026-02-17T12:36:28.463924Z,TOU
run_20260217_220238-0107,EVSE-035,2026-02-17T05:17:02.079923Z,2026-02-17T06:17:02.079923Z,TOU
run_20260217_220238-0108,EVSE-026,2026-02-17T23:06:15.965339Z,2026-02-17T23:36:15.965339Z,TOU
run_20260217_220238-0109,EVSE-006,2026-02-17T02:30:43.320436Z,2026-02-17T03:30:43.320436Z,TOU
run_20260217_220238-0110,EVSE-026,2026-02-17T16:53:16.708377Z,2026-02-17T17:53:16.708377Z,TOU
run_20260217_220238-0111,EVSE-024,2026-02-17T04:45:25.307711Z,2026-02-17T05:15:25.307711Z,TOU
run_20260217_220238-0112,EVSE-005,2026-02-17T01:11:46.041534Z,2026-02-17T01:31:46.041534Z,TOU
run_20260217_220238-0113,EVSE-032,2026-02-17T11:16:34.666235Z,2026-02-17T12:16:34.666235Z,TOU
run_20260217_220238-0114,EVSE-021,2026-02-17T20:43:33.064708Z,2026-02-17T21:03:33.064708Z,TOU
run_20260217_220238-0115,EVSE-030,2026-02-17T06:57:15.701939Z,2026-02-17T08:12:15.701939Z,TOU
run_20260217_220238-0116,EVSE-050,2026-02-17T10:44:37.704909Z,2026-02-17T11:59:37.704909Z,TOU
run_20260217_220238-0117,EVSE-015,2026-02-17T13:36:01.780048Z,2026-02-17T13:56:01.780048Z,TOU
run_20260217_220238-0118,EVSE-038,2026-02-17T01:24:05.889654Z,2026-02-17T02:04:05.889654Z,TOU
run_20260217_220238-0119,EVSE-020,2026-02-17T08:10:25.479740Z,2026-02-17T09:25:25.479740Z,TOU
run_20260217_220238-0120,EVSE-049,2026-02-17T04:40:14.943476Z,2026-02-17T05:40:14.943476Z,TOU
run_20260217_220238-0121,EVSE-011,2026-02-17T10:30:13.334959Z,2026-02-17T11:10:13.334959Z,TOU
run_20260217_220238-0122,EVSE-016,2026-02-17T01:34:23.867354Z,2026-02-17T02:14:23.867354Z,TOU
run_20260217_220238-0123,EVSE-035,2026-02-17T15:30:49.864323Z,2026-02-17T15:50:49.864323Z,TOU
run_20260217_220238-0124,EVSE-036,2026-02-17T21:24:12.251910Z,2026-02-17T21:54:12.251910Z,TOU
run_20260217_220238-0125,EVSE-033,2026-02-17T14:42:39.461522Z,2026-02-17T15:42:39.461522Z,TOU
run_20260217_220238-0126,EVSE-020,2026-02-17T23:02:57.833316Z,2026-02-17T23:42:57.833316Z,TOU
run_20260217_220238-0127,EVSE-015,2026-02-17T11:48:27.985192Z,2026-02-17T13:03:27.985192Z,TOU
run_20260217_220238-0128,EVSE-045,2026-02-17T09:58:43.588863Z,2026-02-17T10:28:43.588863Z,TOU
run_20260217_220238-0129,EVSE-009,2026-02-17T23:31:43.811447Z,2026-02-18T00:11:43.811447Z,TOU
run_20260217_220238-0130,EVSE-018,2026-02-17T10:31:19.382821Z,2026-02-17T11:31:19.382821Z,TOU
run_20260217_220238-0131,EVSE-037,2026-02-17T18:35:11.487917Z,2026-02-17T19:15:11.487917Z,TOU
run_20260217_220238-0132,EVSE-045,2026-02-17T14:52:14.422384Z,2026-02-17T15:52:14.422384Z,TOU
run_20260217_220238-0133,EVSE-031,2026-02-17T21:21:42.823352Z,2026-02-17T22:36:42.823352Z,TOU
run_20260217_220238-0134,EVSE-012,2026-02-17T19:11:47.003789Z,2026-02-17T19:51:47.003789Z,TOU
run_20260217_220238-0135,EVSE-019,2026-02-17T03:52:50.937582Z,2026-02-17T04:12:50.937582Z,TOU
run_20260217_220238-0136,EVSE-019,2026-02-17T23:45:39.316643Z,2026-02-18T01:00:39.316643Z,TOU
run_20260217_220238-0137,EVSE-012,2026-02-17T05:48:30.770378Z,2026-02-17T06:18:30.770378Z,TOU
run_20260217_220238-0138,EVSE-001,2026-02-17T12:31:27.965890Z,2026-02-17T13:01:27.965890Z,TOU
run_20260217_220238-0139,EVSE-050,2026-02-17T15:21:14.699376Z,2026-02-17T15:51:14.699376Z,TOU
run_20260217_220238-0140,EVSE-031,2026-02-17T21:09:55.279559Z,2026-02-17T21:49:55.279559Z,TOU
run_20260217_220238-0141,EVSE-037,2026-02-17T04:44:07.632710Z,2026-02-17T05:14:07.632710Z,TOU
run_20260217_220238-0142,EVSE-030,2026-02-17T04:05:33.921738Z,2026-02-17T05:20:33.921738Z,TOU
run_20260217_220238-0143,EVSE-028,2026-02-17T16:35:14.149668Z,2026-02-17T16:55:14.149668Z,TOU
run_20260217_220238-0144,EVSE-009,2026-02-17T22:27:11.143594Z,2026-02-17T22:47:11.143594Z,TOU
run_20260217_220238-0145,EVSE-034,2026-02-17T00:30:12.004183Z,2026-02-17T01:30:12.004183Z,TOU
run_20260217_220238-0146,EVSE-025,2026-02-17T00:29:38.213825Z,2026-02-17T00:49:38.213825Z,TOU
run_20260217_220238-0147,EVSE-002,2026-02-17T18:02:34.959873Z,2026-02-17T18:42:34.959873Z,TOU
run_20260217_220238-0148,EVSE-021,2026-02-17T22:22:06.065990Z,2026-02-17T23:37:06.065990Z,TOU
run_20260217_220238-0149,EVSE-027,2026-02-17T02:57:11.280964Z,2026-02-17T04:12:11.280964Z,TOU
run_20260217_220238-0150,EVSE-013,2026-02-17T14:56:53.839713Z,2026-02-17T16:11:53.839713Z,TOU
run_20260217_220238-0151,EVSE-049,2026-02-17T14:55:52.686963Z,2026-02-17T16:10:52.686963Z,TOU
run_20260217_220238-0152,EVSE-027,2026-02-17T18:09:39.949089Z,2026-02-17T19:24:39.949089Z,TOU
run_20260217_220238-0153,EVSE-025,2026-02-17T03:14:43.069697Z,2026-02-17T03:44:43.069697Z,TOU
run_20260217_220238-0154,EVSE-004,2026-02-17T18:05:08.926585Z,2026-02-17T19:20:08.926585Z,TOU
run_20260217_220238-0155,EVSE-005,2026-02-17T03:50:44.482153Z,2026-02-17T04:10:44.482153Z,TOU
run_20260217_220238-0156,EVSE-012,2026-02-17T23:45:50.177710Z,2026-02-18T01:00:50.177710Z,TOU
run_20260217_220238-0157,EVSE-026,2026-02-17T21:40:18.479882Z,2026-02-17T22:10:18.479882Z,TOU
run_20260217_220238-0158,EVSE-025,2026-02-17T18:08:46.837942Z,2026-02-17T18:38:46.837942Z,TOU
run_20260217_220238-0159,EVSE-037,2026-02-17T12:33:33.159349Z,2026-02-17T12:53:33.159349Z,TOU
run_20260217_220238-0160,EVSE-010,2026-02-17T00:36:40.245977Z,2026-02-17T01:51:40.245977Z,TOU
run_20260217_220238-0161,EVSE-023,2026-02-17T06:52:41.735044Z,2026-02-17T07:52:41.735044Z,TOU
run_20260217_220238-0162,EVSE-021,2026-02-17T13:29:35.574954Z,2026-02-17T13:49:35.574954Z,TOU
run_20260217_220238-0163,EVSE-041,2026-02-17T17:25:24.544726Z,2026-02-17T18:25:24.544726Z,TOU
run_20260217_220238-0164,EVSE-033,2026-02-17T14:37:56.661326Z,2026-02-17T15:17:56.661326Z,TOU
run_20260217_220238-0165,EVSE-016,2026-02-17T23:21:10.971493Z,2026-02-18T00:01:10.971493Z,TOU
run_20260217_220238-0166,EVSE-013,2026-02-17T19:54:48.035419Z,2026-02-17T20:54:48.035419Z,TOU
run_20260217_220238-0167,EVSE-022,2026-02-17T20:43:53.704981Z,2026-02-17T21:03:53.704981Z,TOU
run_20260217_220238-0168,EVSE-013,2026-02-17T04:13:06.555252Z,2026-02-17T05:28:06.555252Z,TOU
run_20260217_220238-0169,EVSE-025,2026-02-17T10:53:17.647017Z,2026-02-17T12:08:17.647017Z,TOU
run_20260217_220238-0170,EVSE-043,2026-02-17T00:12:23.466913Z,2026-02-17T01:12:23.466913Z,TOU
run_20260217_220238-0171,EVSE-045,2026-02-17T19:59:28.354181Z,2026-02-17T21:14:28.354181Z,TOU
run_20260217_220238-0172,EVSE-047,2026-02-17T15:42:14.817711Z,2026-02-17T16:02:14.817711Z,TOU
run_20260217_220238-0173,EVSE-048,2026-02-17T16:29:52.674287Z,2026-02-17T17:29:52.674287Z,TOU
run_20260217_220238-0174,EVSE-028,2026-02-17T19:47:47.240684Z,2026-02-17T20:17:47.240684Z,TOU
run_20260217_220238-0175,EVSE-005,2026-02-17T06:17:09.644871Z,2026-02-17T06:47:09.644871Z,TOU
run_20260217_220238-0176,EVSE-020,2026-02-17T04:47:42.996365Z,2026-02-17T06:02:42.996365Z,TOU
run_20260217_220238-0177,EVSE-009,2026-02-17T09:49:09.453266Z,2026-02-17T10:19:09.453266Z,TOU
run_20260217_220238-0178,EVSE-013,2026-02-17T13:49:49.449229Z,2026-02-17T14:49:49.449229Z,TOU
run_20260217_220238-0179,EVSE-008,2026-02-17T00:51:05.166675Z,2026-02-17T02:06:05.166675Z,TOU
run_20260217_220238-0180,EVSE-008,2026-02-17T17:33:14.398228Z,2026-02-17T18:48:14.398228Z,TOU
run_20260217_220238-0181,EVSE-044,2026-02-17T18:17:47.860816Z,2026-02-17T19:32:47.860816Z,TOU
run_20260217_220238-0182,EVSE-027,2026-02-17T20:43:45.118485Z,2026-02-17T21:43:45.118485Z,TOU
run_20260217_220238-0183,EVSE-032,2026-02-17T22:10:15.393984Z,2026-02-17T22:30:15.393984Z,TOU
run_20260217_220238-0184,EVSE-035,2026-02-17T23:55:26.325444Z,2026-02-18T00:15:26.325444Z,TOU
run_20260217_220238-0185,EVSE-022,2026-02-17T00:44:53.690681Z,2026-02-17T01:14:53.690681Z,TOU
run_20260217_220238-0186,EVSE-011,2026-02-17T05:41:21.252463Z,2026-02-17T06:01:21.252463Z,TOU
run_20260217_220238-0187,EVSE-041,2026-02-17T23:58:01.599517Z,2026-02-18T00:58:01.599517Z,TOU
run_20260217_220238-0188,EVSE-044,2026-02-17T07:11:48.265500Z,2026-02-17T07:41:48.265500Z,TOU
run_20260217_220238-0189,EVSE-020,2026-02-17T23:47:23.394037Z,2026-02-18T00:27:23.394037Z,TOU
run_20260217_220238-0190,EVSE-047,2026-02-17T05:25:13.014213Z,2026-02-17T05:55:13.014213Z,TOU
run_20260217_220238-0191,EVSE-036,2026-02-17T06:01:29.572537Z,2026-02-17T07:01:29.572537Z,TOU
run_20260217_220238-0192,EVSE-016,2026-02-17T06:40:30.079203Z,2026-02-17T07:20:30.079203Z,TOU
run_20260217_220238-0193,EVSE-050,2026-02-17T21:16:38.947551Z,2026-02-17T22:16:38.947551Z,TOU
run_20260217_220238-0194,EVSE-019,2026-02-17T09:53:11.793866Z,2026-02-17T10:13:11.793866Z,TOU
run_20260217_220238-0195,EVSE-042,2026-02-17T11:57:29.369380Z,2026-02-17T12:57:29.369380Z,TOU
run_20260217_220238-0196,EVSE-001,2026-02-17T22:23:47.656775Z,2026-02-17T23:23:47.656775Z,TOU
run_20260217_220238-0197,EVSE-005,2026-02-17T01:06:39.400168Z,2026-02-17T02:21:39.400168Z,TOU
run_20260217_220238-0198,EVSE-037,2026-02-17T11:43:28.445618Z,2026-02-17T12:03:28.445618Z,TOU
run_20260217_220238-0199,EVSE-005,2026-02-17T21:12:55.176655Z,2026-02-17T22:27:55.176655Z,TOU
run_20260217_220238-0200,EVSE-030,2026-02-17T21:07:03.759676Z,2026-02-17T21:27:03.759676Z,TOU
run_20260217_220238-0201,EVSE-032,2026-02-17T05:25:07.225771Z,2026-02-17T06:05:07.225771Z,TOU
run_20260217_220238-0202,EVSE-027,2026-02-17T05:21:43.453405Z,2026-02-17T06:36:43.453405Z,TOU
run_20260217_220238-0203,EVSE-030,2026-02-17T22:32:45.065464Z,2026-02-17T23:02:45.065464Z,TOU
run_20260217_220238-0204,EVSE-028,2026-02-17T21:56:44.431127Z,2026-02-17T22:16:44.431127Z,TOU
run_20260217_220238-0205,EVSE-009,2026-02-17T20:50:46.804052Z,2026-02-17T21:30:46.804052Z,TOU
run_20260217_220238-0206,EVSE-020,2026-02-17T09:57:01.225707Z,2026-02-17T10:27:01.225707Z,TOU
run_20260217_220238-0207,EVSE-014,2026-02-17T03:31:25.539159Z,2026-02-17T03:51:25.539159Z,TOU
run_20260217_220238-0208,EVSE-017,2026-02-17T16:06:58.627872Z,2026-02-17T16:26:58.627872Z,TOU
run_20260217_220238-0209,EVSE-042,2026-02-17T19:48:37.827910Z,2026-02-17T20:48:37.827910Z,TOU
run_20260217_220238-0210,EVSE-006,2026-02-17T09:54:59.339810Z,2026-02-17T10:14:59.339810Z,TOU
run_20260217_220238-0211,EVSE-012,2026-02-17T04:04:43.626288Z,2026-02-17T04:44:43.626288Z,TOU
run_20260217_220238-0212,EVSE-006,2026-02-17T02:11:02.515749Z,2026-02-17T02:51:02.515749Z,TOU
run_20260217_220238-0213,EVSE-046,2026-02-17T20:41:22.808120Z,2026-02-17T21:11:22.808120Z,TOU
run_20260217_220238-0214,EVSE-015,2026-02-17T10:54:53.661559Z,2026-02-17T11:54:53.661559Z,TOU
run_20260217_220238-0215,EVSE-025,2026-02-17T21:34:48.393257Z,2026-02-17T22:04:48.393257Z,TOU
run_20260217_220238-0216,EVSE-023,2026-02-17T03:50:31.197401Z,2026-02-17T04:20:31.197401Z,TOU
run_20260217_220238-0217,EVSE-021,2026-02-17T10:27:24.399542Z,2026-02-17T11:42:24.399542Z,TOU
run_20260217_220238-0218,EVSE-007,2026-02-17T20:26:17.681560Z,2026-02-17T20:56:17.681560Z,TOU
run_20260217_220238-0219,EVSE-045,2026-02-17T16:14:27.083142Z,2026-02-17T16:44:27.083142Z,TOU
run_20260217_220238-0220,EVSE-037,2026-02-17T09:15:15.543588Z,2026-02-17T09:55:15.543588Z,TOU
run_20260217_220238-0221,EVSE-043,2026-02-17T00:07:13.937521Z,2026-02-17T01:22:13.937521Z,TOU
run_20260217_220238-0222,EVSE-035,2026-02-17T02:42:13.136285Z,2026-02-17T03:42:13.136285Z,TOU
run_20260217_220238-0223,EVSE-031,2026-02-17T04:05:31.077138Z,2026-02-17T05:20:31.077138Z,TOU
run_20260217_220238-0224,EVSE-047,2026-02-17T13:37:53.663930Z,2026-02-17T14:07:53.663930Z,TOU
run_20260217_220238-0225,EVSE-043,2026-02-17T11:01:13.162709Z,2026-02-17T11:41:13.162709Z,TOU
run_20260217_220238-0226,EVSE-008,2026-02-17T12:27:19.626460Z,2026-02-17T12:47:19.626460Z,TOU
run_20260217_220238-0227,EVSE-045,2026-02-17T14:26:38.821089Z,2026-02-17T15:26:38.821089Z,TOU
run_20260217_220238-0228,EVSE-031,2026-02-17T21:55:34.888257Z,2026-02-17T22:35:34.888257Z,TOU
run_20260217_220238-0229,EVSE-049,2026-02-17T18:19:40.529517Z,2026-02-17T18:59:40.529517Z,TOU
run_20260217_220238-0230,EVSE-041,2026-02-17T01:12:21.087866Z,2026-02-17T01:42:21.087866Z,TOU
run_20260217_220238-0231,EVSE-045,2026-02-17T09:42:07.882639Z,2026-02-17T10:22:07.882639Z,TOU
run_20260217_220238-0232,EVSE-025,2026-02-17T11:26:30.642297Z,2026-02-17T12:26:30.642297Z,TOU
run_20260217_220238-0233,EVSE-022,2026-02-17T10:15:17.192081Z,2026-02-17T11:15:17.192081Z,TOU
run_20260217_220238-0234,EVSE-047,2026-02-17T16:42:36.052022Z,2026-02-17T17:22:36.052022Z,TOU
run_20260217_220238-0235,EVSE-033,2026-02-17T08:29:24.064293Z,2026-02-17T08:59:24.064293Z,TOU
run_20260217_220238-0236,EVSE-041,2026-02-17T22:24:30.693998Z,2026-02-17T23:39:30.693998Z,TOU
